회차,추첨일,1등,1번,2번,3번,4번,5번,6번
587,2014.03.01,"4,974,577,375원",14,21,29,31,32,37
586,2014.02.22,"1,778,354,344원",2,7,12,15,21,34
585,2014.02.15,"1,620,546,334원",6,7,10,16,38,41
584,2014.02.08,"5,033,183,250원",7,18,30,39,40,41
583,2014.02.01,"1,341,848,353원",8,17,27,33,40,44
582,2014.01.25,"3,560,558,719원",2,12,14,33,40,41
581,2014.01.18,"1,844,554,547원",3,5,14,20,42,44
580,2014.01.11,"2,028,610,500원",5,7,9,11,32,35
579,2014.01.04,"1,396,068,444원",5,7,20,22,37,42
578,2013.12.28,"2,796,466,575원",5,12,14,32,34,42
577,2013.12.21,"4,484,438,375원",16,17,22,31,34,37
576,2013.12.14,"4,321,966,000원",10,11,15,25,35,41
575,2013.12.07,"1,699,267,875원",2,8,20,30,33,34
574,2013.11.30,"6,965,184,938원",14,15,16,19,25,43
573,2013.11.23,"1,645,691,766원",2,4,20,34,35,43
572,2013.11.16,"1,668,216,188원",3,13,18,33,37,45
571,2013.11.09,"1,966,538,465원",11,18,21,26,38,43
570,2013.11.02,"1,527,791,625원",1,12,26,27,29,33
569,2013.10.26,"3,467,925,188원",3,6,13,23,24,35
568,2013.10.19,"1,305,167,550원",1,3,17,20,31,44
567,2013.10.12,"2,318,659,438원",1,10,15,16,32,41
566,2013.10.05,"3,508,951,032원",4,5,6,25,26,43
565,2013.09.28,"1,742,064,469원",4,10,18,27,40,45
564,2013.09.21,"1,934,801,143원",14,19,25,26,27,34
563,2013.09.14,"1,932,735,643원",5,10,16,17,31,32
562,2013.09.07,"1,166,694,614원",4,11,13,17,20,31
561,2013.08.31,"2,753,712,225원",5,7,18,37,42,45
560,2013.08.24,"1,976,697,215원",1,4,20,23,29,45
559,2013.08.17,"1,926,145,608원",11,12,25,32,44,45
558,2013.08.10,"1,315,913,663원",12,15,19,26,40,43
557,2013.08.03,"1,888,069,286원",4,20,26,28,35,40
556,2013.07.27,"2,005,209,161원",12,20,23,28,30,44
555,2013.07.20,"1,711,027,360원",11,17,21,24,26,36
554,2013.07.13,"6,813,893,625원",13,14,17,32,41,42
553,2013.07.06,"2,249,631,438원",2,7,17,28,29,39
552,2013.06.29,"1,330,824,225원",1,10,20,32,35,40
551,2013.06.22,"13,526,973,750원",3,6,20,24,27,44
550,2013.06.15,"1,118,679,205원",1,7,14,20,34,37
549,2013.06.08,"1,760,805,047원",29,31,35,38,40,44
548,2013.06.01,"1,736,871,891원",1,12,13,21,32,45
547,2013.05.25,"2,838,444,450원",6,7,15,22,34,39
546,2013.05.18,"405,939,950원",8,17,20,27,37,43
545,2013.05.11,"1,198,994,353원",4,24,25,27,34,35
544,2013.05.04,"1,046,388,433원",5,17,21,25,36,44
543,2013.04.27,"1,112,934,844원",13,18,26,31,34,44
542,2013.04.20,"2,335,152,563원",5,6,19,26,41,45
541,2013.04.13,"1,269,327,171원",8,13,26,28,32,34
540,2013.04.06,"1,989,365,250원",3,12,13,15,34,36
539,2013.03.30,"1,621,036,667원",3,19,22,31,42,43
538,2013.03.23,"4,688,021,625원",6,10,18,31,32,34
537,2013.03.16,"2,104,038,911원",12,23,26,30,36,43
536,2013.03.09,"1,308,523,603원",7,8,18,32,37,43
535,2013.03.02,"4,935,603,000원",11,12,14,15,18,39
534,2013.02.23,"14,215,763,250원",10,24,26,29,37,38
533,2013.02.16,"1,785,671,579원",9,14,15,17,31,33
532,2013.02.09,"2,216,896,286원",16,17,23,24,29,44
531,2013.02.02,"1,521,519,750원",1,5,9,21,27,35
530,2013.01.26,"1,231,656,239원",16,23,27,29,33,41
529,2013.01.19,"1,749,114,797원",18,20,24,27,31,42
528,2013.01.12,"1,197,889,125원",5,17,25,31,39,40
527,2013.01.05,"1,032,386,366원",1,12,22,32,33,42
526,2012.12.29,"1,491,031,959원",7,14,17,20,35,39
525,2012.12.22,"1,501,132,375원",11,23,26,29,39,44
524,2012.12.15,"3,491,695,594원",10,11,29,38,41,45
523,2012.12.08,"1,780,355,840원",1,4,37,38,40,45
522,2012.12.01,"2,281,623,000원",4,5,13,14,37,41
521,2012.11.24,"1,693,420,922원",3,7,18,29,32,36
520,2012.11.17,"2,167,205,438원",4,22,27,28,38,40
519,2012.11.10,"1,950,601,393원",6,8,13,16,30,43
518,2012.11.03,"2,263,804,125원",14,23,30,32,34,38
517,2012.10.27,"2,659,057,725원",1,9,12,28,36,41
516,2012.10.20,"1,294,190,182원",2,8,23,41,43,44
515,2012.10.13,"13,200,466,875원",2,11,12,15,23,37
514,2012.10.06,"4,451,055,500원",1,15,20,26,35,42
513,2012.09.29,"4,589,624,750원",5,8,21,23,27,33
512,2012.09.22,"940,094,452원",4,5,9,13,26,27
511,2012.09.15,"2,165,579,250원",3,7,14,23,26,42
510,2012.09.08,"2,644,158,150원",12,29,32,33,39,40
509,2012.09.01,"2,689,076,100원",12,25,29,35,42,43
508,2012.08.25,"1,599,557,860원",5,27,31,34,35,43
507,2012.08.18,"1,416,438,875원",12,13,32,33,40,41
506,2012.08.11,"4,073,333,875원",6,9,11,22,24,30
